X,CH1,
Second,Volt,
2.74100e-03,-4.00e-03,
2.74200e-03,0.00e+00,
2.74300e-03,-4.00e-03,
2.74400e-03,2.00e-03,
2.74500e-03,4.00e-03,
2.74600e-03,4.00e-03,
2.74700e-03,2.00e-03,
2.74800e-03,2.00e-03,
2.74900e-03,-2.00e-03,
2.75000e-03,0.00e+00,
2.75100e-03,-4.00e-03,
2.75200e-03,-2.00e-03,
2.75300e-03,-4.00e-03,
2.75400e-03,-2.00e-03,
2.75500e-03,0.00e+00,
2.75600e-03,-2.00e-03,
2.75700e-03,4.00e-03,
2.75800e-03,0.00e+00,
2.75900e-03,6.00e-03,
2.76000e-03,4.00e-03,
2.76100e-03,0.00e+00,
2.76200e-03,2.00e-03,
2.76300e-03,-2.00e-03,
2.76400e-03,-2.00e-03,
2.76500e-03,-4.00e-03,
2.76600e-03,-2.00e-03,
2.76700e-03,-2.00e-03,
2.76800e-03,-2.00e-03,
2.76900e-03,2.00e-03,
2.77000e-03,0.00e+00,
2.77100e-03,4.00e-03,
2.77200e-03,2.00e-03,
2.77300e-03,4.00e-03,
2.77400e-03,4.00e-03,
2.77500e-03,-2.00e-03,
2.77600e-03,0.00e+00,
2.77700e-03,-2.00e-03,
2.77800e-03,-2.00e-03,
2.77900e-03,-4.00e-03,
2.78000e-03,-2.00e-03,
2.78100e-03,-2.00e-03,
2.78200e-03,-2.00e-03,
2.78300e-03,2.00e-03,
2.78400e-03,2.00e-03,
2.78500e-03,2.00e-03,
2.78600e-03,4.00e-03,
2.78700e-03,0.00e+00,
2.78800e-03,2.00e-03,
2.78900e-03,-2.00e-03,
2.79000e-03,-2.00e-03,
2.79100e-03,-4.00e-03,
2.79200e-03,-2.00e-03,
2.79300e-03,-4.00e-03,
2.79400e-03,-2.00e-03,
2.79500e-03,0.00e+00,
2.79600e-03,2.00e-03,
2.79700e-03,4.00e-03,
2.79800e-03,6.00e-03,
2.79900e-03,0.00e+00,
2.80000e-03,2.00e-03,
2.80100e-03,-2.00e-03,
2.80200e-03,-2.00e-03,
2.80300e-03,0.00e+00,
2.80400e-03,-4.00e-03,
2.80500e-03,-2.00e-03,
2.80600e-03,0.00e+00,
2.80700e-03,-4.00e-03,
2.80800e-03,-2.00e-03,
2.80900e-03,2.00e-03,
2.81000e-03,2.00e-03,
2.81100e-03,0.00e+00,
2.81200e-03,-2.00e-03,
2.81300e-03,2.00e-03,
2.81400e-03,0.00e+00,
2.81500e-03,-2.00e-03,
2.81600e-03,-2.00e-03,
2.81700e-03,-2.00e-03,
2.81800e-03,-2.00e-03,
2.81900e-03,-4.00e-03,
2.82000e-03,-2.00e-03,
2.82100e-03,2.00e-03,
2.82200e-03,0.00e+00,
2.82300e-03,2.00e-03,
2.82400e-03,0.00e+00,
2.82500e-03,2.00e-03,
2.82600e-03,2.00e-03,
2.82700e-03,-2.00e-03,
2.82800e-03,-2.00e-03,
2.82900e-03,-2.00e-03,
2.83000e-03,-2.00e-03,
2.83100e-03,-4.00e-03,
2.83200e-03,-2.00e-03,
2.83300e-03,0.00e+00,
2.83400e-03,-2.00e-03,
2.83500e-03,2.00e-03,
2.83600e-03,0.00e+00,
2.83700e-03,2.00e-03,
2.83800e-03,0.00e+00,
2.83900e-03,-2.00e-03,
2.84000e-03,-2.00e-03,
2.84100e-03,-2.00e-03,
2.84200e-03,0.00e+00,
2.84300e-03,-4.00e-03,
2.84400e-03,-2.00e-03,
2.84500e-03,0.00e+00,
2.84600e-03,-2.00e-03,
2.84700e-03,0.00e+00,
2.84800e-03,0.00e+00,
2.84900e-03,2.00e-03,
2.85000e-03,2.00e-03,
2.85100e-03,-2.00e-03,
